id,model,condition,pass_at_1,pass_at_5,mean_ext_bleu,max_ext_bleu
HFT-0150,llama3-70b,zero_shot,0.0,0.0,0.0569,0.1187
HFT-0151,llama3-70b,zero_shot,0.0,0.0,0.1236,0.14
HFT-0152,llama3-70b,zero_shot,0.8,1.0,0.1658,0.1791
HFT-0153,llama3-70b,zero_shot,1.0,1.0,0.1821,0.1999
HFT-0154,llama3-70b,zero_shot,0.2,0.7778,0.1083,0.1599
HFT-0155,llama3-70b,zero_shot,0.0,0.0,0.1073,0.14
HFT-0156,llama3-70b,zero_shot,0.5,0.996,0.0995,0.1714
HFT-0157,llama3-70b,zero_shot,0.9,1.0,0.1697,0.1829
HFT-0158,llama3-70b,zero_shot,0.3,0.9167,0.1042,0.1685
HFT-0159,llama3-70b,zero_shot,0.9,1.0,0.1584,0.1787
HFT-0160,llama3-70b,zero_shot,0.3,0.9167,0.1378,0.1639
HFT-0161,llama3-70b,zero_shot,0.0,0.0,0.0,0.0
HFT-0162,llama3-70b,zero_shot,0.0,0.0,0.1268,0.14
HFT-0163,llama3-70b,zero_shot,0.0,0.0,0.1016,0.14
HFT-0164,llama3-70b,zero_shot,0.0,0.0,0.124,0.14
HFT-0165,llama3-70b,zero_shot,0.0,0.0,0.1284,0.14
HFT-0166,llama3-70b,zero_shot,0.0,0.0,0.1088,0.14
HFT-0167,llama3-70b,zero_shot,0.1,0.5,0.1081,0.1629
HFT-0168,llama3-70b,zero_shot,0.0,0.0,0.132,0.14
HFT-0169,llama3-70b,zero_shot,0.2,0.7778,0.1374,0.1723
HFT-0170,llama3-70b,zero_shot,0.4,0.9762,0.1454,0.1612
HFT-0171,llama3-70b,zero_shot,0.0,0.0,0.1216,0.14
HFT-0172,llama3-70b,zero_shot,0.0,0.0,0.1248,0.14
HFT-0173,llama3-70b,zero_shot,0.0,0.0,0.1374,0.1433
HFT-0174,llama3-70b,zero_shot,0.0,0.0,0.1264,0.14
HFT-0175,llama3-70b,zero_shot,0.0,0.0,0.128,0.14
HFT-0176,llama3-70b,zero_shot,0.7,1.0,0.1265,0.1726
HFT-0177,llama3-70b,zero_shot,0.0,0.0,0.1284,0.14
HFT-0178,llama3-70b,zero_shot,0.0,0.0,0.0,0.0
HFT-0179,llama3-70b,zero_shot,0.0,0.0,0.1304,0.14
